ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Examples_Count,Examples_Count_Log
kili1267,Kilivila,,-8.72574,151.072,kili1267,,1,0.0
mira1254,Miraña,,,,mira1254,,1,0.0
bora1263,Bora,,-2.000259,-72.257066,bora1263,,1,0.0
mian1256,Mian,,-4.70881,141.523,mian1256,,3,1.0986122886681098
indo1319,Indo-European,,,,indo1319,,5,1.6094379124341003
swis1247,Swiss German,,47.0516,8.46419,swis1247,,1,0.0
arch1244,Archi,,42.3239,46.8267,arch1244,,1,0.0
uduk1239,Uduk,,9.16012,34.2293,uduk1239,,1,0.0
nalc1240,Nalca,,-4.26068,139.883,nalc1240,,6,1.791759469228055
paum1247,Paumari,,-5.78403,-64.2803,paum1247,,1,0.0
stan1295,German,,48.649,12.4676,stan1295,,18,2.8903717578961645
ghod1238,Godoberi,,42.7428,46.2252,ghod1238,,1,0.0
latv1249,Latvian,,56.826108,24.309118,latv1249,,1,0.0
cayu1261,Cayuga,,42.41,-76.5969,cayu1261,,1,0.0
moha1258,Mohawk,,43.72,-74.66836,moha1258,,1,0.0
hass1238,Ḥassāniyya,,18.29,-14.11,hass1238,,3,1.0986122886681098
zena1248,Zenaga,,16.82,-16.1711,zena1248,,3,1.0986122886681098
tari1263,Tarifiyt,,34.916974,-3.430616,tari1263,,1,0.0
kaby1243,Kabyle,,36.4103,4.76137,kaby1243,,2,0.6931471805599453
suda1236,Baggara,,17.8021,33.3179,suda1236,,1,0.0
tago1246,Tagoi,,12.0346,30.9306,tago1246,,1,0.0
malt1254,Maltese,,35.8884,14.4508,malt1254,,2,0.6931471805599453
taji1245,Tajik,,38.8213,68.5549,taji1245,,1,0.0
midd1317,Middle English,,51.65,-1.11,midd1317,,1,0.0
oldf1239,Old French,,48.8,1.11,oldf1239,,1,0.0
stan1290,French,,48.0,2.0,stan1290,,11,2.3978952727983707
nort3139,Damascus,,34.1709,36.0468,nort3139,,5,1.6094379124341003
egyp1253,Cairo,,31.0,31.0,egyp1253,,5,1.6094379124341003
oman1238,Omani,,,,oman1238,,1,0.0
mehr1241,Mehri,,16.793,52.473,mehr1241,,4,1.3862943611198906
copt1239,Coptic,,29.472,31.2053,copt1239,,37,3.6109179126442243
kumz1235,Kumzari,,26.1602,56.4202,kumz1235,,1,0.0
tuar1240,Tuareg,,,,tuar1240,,1,0.0
awji1241,Awjila,,29.2341,21.1819,awji1241,,2,0.6931471805599453
doma1258,Jerusalem,,32.0,35.0,doma1258,,2,0.6931471805599453
wers1238,Wersing,,-8.33936,124.932,wers1238,,15,2.70805020110221
