04.tex	181	\ipa{I\ Z\ i\ }	\UIPA{ɪ\ ʒ\ i\ }
04.tex	182	\ipa{x}	\UIPA{x}
04.tex	182	\ipa{X\ q\ h\ \textcrh \ \c{c}\ \;G\ }	\UIPA{χ\ q\ h\ ħ\ ç\ ɢ\ }
04.tex	182	\ipa{k\ \super P\ G\ }	\UIPA{k\ ˀ\ ɣ\ }
04.tex	183	\ipa{G}	\UIPA{ɣ}
04.tex	183	\ipa{g\ q\ K\ }	\UIPA{ɡ\ q\ ʁ\ }
04.tex	183	\ipa{Z\ X\ H\ \t{dZ}\ }	\UIPA{ʒ\ χ\ ɦ\ d͡ʒ\ }
04.tex	184	\ipa{X}	\UIPA{χ}
04.tex	184	\ipa{x\ \textcrh \ q\ h\ }	\UIPA{x\ ħ\ q\ h\ }
04.tex	184	\ipa{-\ K\ G\ k\ }	\UIPA{-\ ʁ\ ɣ\ k\ }
04.tex	185	\ipa{K}	\UIPA{ʁ}
04.tex	185	\ipa{G\ r\ \;R\ R\ q\ 5\ X\ }	\UIPA{ɣ\ r\ ʀ\ ɾ\ q\ ɐ\ χ\ }
04.tex	185	\ipa{g\ \t{qX}\ }	\UIPA{ɡ\ q͡χ\ }
04.tex	186	\ipa{\textcrh }	\UIPA{ħ}
04.tex	186	\ipa{h\ X\ \;G\ x\ }	\UIPA{h\ χ\ ɢ\ x\ }
04.tex	186	\ipa{Z\ }	\UIPA{ʒ\ }
04.tex	187	\ipa{Q}	\UIPA{ʕ}
04.tex	187	\ipa{P\ -\ g\ }	\UIPA{ʔ\ -\ ɡ\ }
04.tex	187	\ipa{}	\UIPA{}
04.tex	188	\ipa{h}	\UIPA{h}
04.tex	188	\ipa{H\ \textcrh \ x\ X\ g\ }	\UIPA{ɦ\ ħ\ x\ χ\ ɡ\ }
04.tex	188	\ipa{\super h\ \c{c}\ -\ }	\UIPA{ʰ\ ç\ -\ }
04.tex	189	\ipa{H}	\UIPA{ɦ}
04.tex	189	\ipa{h\ g\ }	\UIPA{h\ ɡ\ }
04.tex	189	\ipa{\super h\ G\ }	\UIPA{ʰ\ ɣ\ }
04.tex	190	\ipa{R}	\UIPA{ɾ}
04.tex	190	\ipa{r\ K\ \;R\ }	\UIPA{r\ ʁ\ ʀ\ }
04.tex	190	\ipa{\*r\ }	\UIPA{ɹ\ }
04.tex	191	\ipa{\:r}	\UIPA{ɽ}
04.tex	191	\ipa{r\ }	\UIPA{r\ }
04.tex	192	\ipa{r}	\UIPA{r}
04.tex	192	\ipa{\*r\ \;R\ R\ K\ 3\ \:r\ }	\UIPA{ɹ\ ʀ\ ɾ\ ʁ\ ɜ\ ɽ\ }
04.tex	192	\ipa{Z\ 5\ }	\UIPA{ʒ\ ɐ\ }
04.tex	193	\ipa{\;R}	\UIPA{ʀ}
04.tex	193	\ipa{r\ K\ R\ }	\UIPA{r\ ʁ\ ɾ\ }
04.tex	193	\ipa{}	\UIPA{}
04.tex	194	\ipa{\;H}	\UIPA{ʜ}
04.tex	194	\ipa{a\ }	\UIPA{a\ }
04.tex	194	\ipa{}	\UIPA{}
04.tex	195	\ipa{\t{t\textbeltl}}	\UIPA{t͡ɬ}
04.tex	195	\ipa{-\ }	\UIPA{-\ }
04.tex	196	\ipa{\textbeltl }	\UIPA{ɬ}
04.tex	196	\ipa{l\ L\ \textsuperimposetilde{l}\ }	\UIPA{l\ ʎ\ ɫ\ }
04.tex	196	\ipa{-\ }	\UIPA{-\ }
04.tex	197	\ipa{\textlyoghlig }	\UIPA{ɮ}
04.tex	197	\ipa{l\ }	\UIPA{l\ }
04.tex	197	\ipa{}	\UIPA{}
04.tex	198	\ipa{l}	\UIPA{l}
04.tex	198	\ipa{L\ \textsuperimposetilde{l}\ \textbeltl \ \textlyoghlig \ }	\UIPA{ʎ\ ɫ\ ɬ\ ɮ\ }
04.tex	198	\ipa{\:l\ }	\UIPA{ɭ\ }
04.tex	199	\ipa{\:l}	\UIPA{ɭ}
04.tex	199	\ipa{l\ }	\UIPA{l\ }
04.tex	200	\ipa{L}	\UIPA{ʎ}
04.tex	200	\ipa{l\ \textbeltl \ \textsuperimposetilde{l}\ \super j\ }	\UIPA{l\ ɬ\ ɫ\ ʲ\ }
04.tex	200	\ipa{\textlyoghlig \ }	\UIPA{ɮ\ }
04.tex	201	\ipa{w}	\UIPA{w}
04.tex	201	\ipa{B\ v\ V\ \textsuperimposetilde{l}\ 0\ u\ }	\UIPA{β\ v\ ʋ\ ɫ\ ʉ\ u\ }
04.tex	201	\ipa{U\ \super G\ 4\ b\ Y\ \super w\ X\ o\ }	\UIPA{ʊ\ ˠ\ ɥ\ b\ ʏ\ ʷ\ χ\ o\ }
04.tex	202	\ipa{4}	\UIPA{ɥ}
04.tex	202	\ipa{u\ y\ }	\UIPA{u\ y\ }
04.tex	202	\ipa{w\ Y\ }	\UIPA{w\ ʏ\ }
04.tex	203	\ipa{\textsuperimposetilde{l}}	\UIPA{ɫ}
04.tex	203	\ipa{l\ L\ w\ \textbeltl \ }	\UIPA{l\ ʎ\ w\ ɬ\ }
04.tex	203	\ipa{}	\UIPA{}
04.tex	204	\ipa{i}	\UIPA{i}
04.tex	204	\ipa{9\ I\ \super j\ 1\ W\ e\ }	\UIPA{ɘ\ ɪ\ ʲ\ ɨ\ ɯ\ e\ }
04.tex	204	\ipa{P\ j\ -\ 7\ E\ }	\UIPA{ʔ\ j\ -\ ɤ\ ɛ\ }
04.tex	205	\ipa{y}	\UIPA{y}
04.tex	205	\ipa{Y\ \o \ \oe \ 0\ 8\ W\ u\ 9\ U\ 4\ }	\UIPA{ʏ\ ø\ œ\ ʉ\ ɵ\ ɯ\ u\ ɘ\ ʊ\ ɥ\ }
04.tex	205	\ipa{o\ }	\UIPA{o\ }
04.tex	206	\ipa{I}	\UIPA{ɪ}
04.tex	206	\ipa{i\ e\ E\ }	\UIPA{i\ e\ ɛ\ }
04.tex	206	\ipa{Y\ \oe \ j\ \super j\ 1\ @\ \o \ 8\ -\ }	\UIPA{ʏ\ œ\ j\ ʲ\ ɨ\ ə\ ø\ ɵ\ -\ }
04.tex	207	\ipa{Y}	\UIPA{ʏ}
04.tex	207	\ipa{y\ \o \ 8\ 0\ \ae \ I\ }	\UIPA{y\ ø\ ɵ\ ʉ\ æ\ ɪ\ }
04.tex	207	\ipa{U\ 4\ \oe \ @\ }	\UIPA{ʊ\ ɥ\ œ\ ə\ }
04.tex	208	\ipa{1}	\UIPA{ɨ}
04.tex	208	\ipa{7\ i\ \oe \ I\ }	\UIPA{ɤ\ i\ œ\ ɪ\ }
04.tex	208	\ipa{-\ u\ @\ }	\UIPA{-\ u\ ə\ }
04.tex	209	\ipa{0}	\UIPA{ʉ}
04.tex	209	\ipa{y\ \o \ u\ 8\ U\ \oe \ w\ Y\ o\ }	\UIPA{y\ ø\ u\ ɵ\ ʊ\ œ\ w\ ʏ\ o\ }
04.tex	209	\ipa{6\ B\ v\ }	\UIPA{ɒ\ β\ v\ }
04.tex	210	\ipa{U}	\UIPA{ʊ}
04.tex	210	\ipa{u\ 0\ 8\ y\ \o \ \oe \ Y\ w\ }	\UIPA{u\ ʉ\ ɵ\ y\ ø\ œ\ ʏ\ w\ }
04.tex	210	\ipa{5\ O\ o\ A\ 2\ -\ }	\UIPA{ɐ\ ɔ\ o\ ɑ\ ʌ\ -\ }
04.tex	211	\ipa{W}	\UIPA{ɯ}
04.tex	211	\ipa{7\ y\ @\ \o \ 9\ -\ u\ }	\UIPA{ɤ\ y\ ə\ ø\ ɘ\ -\ u\ }
04.tex	211	\ipa{i\ 6\ e\ }	\UIPA{i\ ɒ\ e\ }
04.tex	212	\ipa{u}	\UIPA{u}
04.tex	212	\ipa{0\ U\ 8\ y\ o\ 4\ 7\ w\ W\ }	\UIPA{ʉ\ ʊ\ ɵ\ y\ o\ ɥ\ ɤ\ w\ ɯ\ }
04.tex	212	\ipa{\o \ 2\ \oe \ B\ }	\UIPA{ø\ ʌ\ œ\ β\ }
04.tex	222	\ipa{e}	\UIPA{e}
04.tex	222	\ipa{E\ I\ 9\ @\ \ae \ i\ }	\UIPA{ɛ\ ɪ\ ɘ\ ə\ æ\ i\ }
04.tex	222	\ipa{W\ P\ \super j\ }	\UIPA{ɯ\ ʔ\ ʲ\ }
04.tex	223	\ipa{\o }	\UIPA{ø}
04.tex	223	\ipa{\oe \ y\ 0\ Y\ W\ U\ o\ 9\ }	\UIPA{œ\ y\ ʉ\ ʏ\ ɯ\ ʊ\ o\ ɘ\ }
04.tex	223	\ipa{8\ I\ u\ }	\UIPA{ɵ\ ɪ\ u\ }
04.tex	224	\ipa{9}	\UIPA{ɘ}
04.tex	224	\ipa{i\ e\ y\ E\ W\ \o \ }	\UIPA{i\ e\ y\ ɛ\ ɯ\ ø\ }
04.tex	224	\ipa{-\ \oe \ }	\UIPA{-\ œ\ }
04.tex	225	\ipa{8}	\UIPA{ɵ}
04.tex	225	\ipa{\oe \ y\ 0\ Y\ u\ U\ O\ E\ }	\UIPA{œ\ y\ ʉ\ ʏ\ u\ ʊ\ ɔ\ ɛ\ }
04.tex	225	\ipa{\o \ I\ }	\UIPA{ø\ ɪ\ }
04.tex	226	\ipa{7}	\UIPA{ɤ}
04.tex	226	\ipa{W\ @\ 1\ O\ u\ -\ }	\UIPA{ɯ\ ə\ ɨ\ ɔ\ u\ -\ }
04.tex	226	\ipa{E\ o\ }	\UIPA{ɛ\ o\ }
04.tex	227	\ipa{o}	\UIPA{o}
04.tex	227	\ipa{O\ \super w\ u\ \o \ 6\ 5\ 0\ }	\UIPA{ɔ\ ʷ\ u\ ø\ ɒ\ ɐ\ ʉ\ }
04.tex	227	\ipa{@\ U\ w\ \super G\ 2\ y\ \oe \ 7\ }	\UIPA{ə\ ʊ\ w\ ˠ\ ʌ\ y\ œ\ ɤ\ }
04.tex	228	\ipa{@}	\UIPA{ə}
04.tex	228	\ipa{2\ 7\ W\ e\ a\ o\ }	\UIPA{ʌ\ ɤ\ ɯ\ e\ a\ o\ }
04.tex	228	\ipa{-\ O\ I\ \super G\ 5\ E\ Y\ A\ }	\UIPA{-\ ɔ\ ɪ\ ˠ\ ɐ\ ɛ\ ʏ\ ɑ\ }
04.tex	229	\ipa{E}	\UIPA{ɛ}
04.tex	229	\ipa{e\ I\ 9\ \ae \ 3\ 8\ }	\UIPA{e\ ɪ\ ɘ\ æ\ ɜ\ ɵ\ }
04.tex	229	\ipa{5\ 7\ i\ @\ }	\UIPA{ɐ\ ɤ\ i\ ə\ }
04.tex	230	\ipa{\oe }	\UIPA{œ}
04.tex	230	\ipa{\o \ y\ 8\ 0\ U\ }	\UIPA{ø\ y\ ɵ\ ʉ\ ʊ\ }
04.tex	230	\ipa{1\ I\ 9\ O\ o\ Y\ u\ }	\UIPA{ɨ\ ɪ\ ɘ\ ɔ\ o\ ʏ\ u\ }
04.tex	231	\ipa{3}	\UIPA{ɜ}
04.tex	231	\ipa{r\ E\ }	\UIPA{r\ ɛ\ }
04.tex	231	\ipa{}	\UIPA{}
04.tex	232	\ipa{2}	\UIPA{ʌ}
04.tex	232	\ipa{@\ O\ a\ }	\UIPA{ə\ ɔ\ a\ }
04.tex	232	\ipa{u\ o\ U\ }	\UIPA{u\ o\ ʊ\ }
04.tex	233	\ipa{O}	\UIPA{ɔ}
04.tex	233	\ipa{o\ 5\ 2\ 8\ 7\ 6\ }	\UIPA{o\ ɐ\ ʌ\ ɵ\ ɤ\ ɒ\ }
04.tex	233	\ipa{@\ U\ \oe \ \super w\ }	\UIPA{ə\ ʊ\ œ\ ʷ\ }
04.tex	234	\ipa{\ae }	\UIPA{æ}
04.tex	234	\ipa{A\ Y\ E\ a\ e\ }	\UIPA{ɑ\ ʏ\ ɛ\ a\ e\ }
04.tex	234	\ipa{Q\ 6\ 5\ }	\UIPA{ʕ\ ɒ\ ɐ\ }
04.tex	235	\ipa{5}	\UIPA{ɐ}
04.tex	235	\ipa{O\ A\ a\ o\ U\ }	\UIPA{ɔ\ ɑ\ a\ o\ ʊ\ }
04.tex	235	\ipa{K\ -\ E\ \ae \ }	\UIPA{ʁ\ -\ ɛ\ æ\ }
04.tex	236	\ipa{a}	\UIPA{a}
04.tex	236	\ipa{6\ A\ 2\ 5\ Q\ \;H\ \ae \ @\ }	\UIPA{ɒ\ ɑ\ ʌ\ ɐ\ ʕ\ ʜ\ æ\ ə\ }
04.tex	236	\ipa{P\ \super h\ }	\UIPA{ʔ\ ʰ\ }
04.tex	237	\ipa{A}	\UIPA{ɑ}
04.tex	237	\ipa{6\ 5\ \ae \ a\ \_\ }	\UIPA{ɒ\ ɐ\ æ\ a\ _\ }
04.tex	237	\ipa{U\ 9\ @\ }	\UIPA{ʊ\ ɘ\ ə\ }
04.tex	238	\ipa{6}	\UIPA{ɒ}
04.tex	238	\ipa{a\ A\ o\ }	\UIPA{a\ ɑ\ o\ }
04.tex	238	\ipa{O\ 0\ \ae \ P\ }	\UIPA{ɔ\ ʉ\ æ\ ʔ\ }
04.tex	239	\ipa{\super h}	\UIPA{ʰ}
04.tex	239	\ipa{-\ ’\ }	\UIPA{-\ ʼ\ }
04.tex	239	\ipa{h\ }	\UIPA{h\ }
04.tex	240	\ipa{-\ \super h\ }	\UIPA{-\ ʰ\ }
04.tex	240	\ipa{\super P\ }	\UIPA{ˀ\ }
04.tex	241	\ipa{\super j}	\UIPA{ʲ}
04.tex	241	\ipa{P\ L\ i\ j\ -\ }	\UIPA{ʔ\ ʎ\ i\ j\ -\ }
04.tex	241	\ipa{C\ \textctz \ I\ }	\UIPA{ɕ\ ʑ\ ɪ\ }
04.tex	242	\ipa{\super w}	\UIPA{ʷ}
04.tex	242	\ipa{o\ v\ O\ }	\UIPA{o\ v\ ɔ\ }
04.tex	242	\ipa{-\ w\ }	\UIPA{-\ w\ }
04.tex	243	\ipa{\super P}	\UIPA{ˀ}
04.tex	243	\ipa{-\ }	\UIPA{-\ }
04.tex	243	\ipa{’\ }	\UIPA{ʼ\ }
04.tex	244	\ipa{\super G}	\UIPA{ˠ}
04.tex	244	\ipa{-\ }	\UIPA{-\ }
04.tex	244	\ipa{w\ o\ }	\UIPA{w\ o\ }
